NOMBRE : Instancia real grande
COMENTARIO : caso real 
VERTICES : 204 
ARISTAS_REQ : 293
ARISTAS_NOREQ : 0 
RESTRICCIONES : 0 
NODOS_INICIALES : 1 
NODOS_TERMINO : 1 
LISTA_ARISTAS_REQ : 
uni 31492 31752 222.89 1
uni 31752 31766 221.76 1
uni 31766 31794 222.89 1
uni 31773 31492 222.89 1
uni 31793 31773 222.89 1
uni 31794 31809 58.92 1
uni 31809 31826 222.89 1
uni 31818 31793 222.89 1
uni 31826 31818 18.11 1
uni 31829 31818 202.29 1
uni 31849 31829 46.31 1
uni 31871 31849 222.89 1
uni 31886 31837 55.44 1
uni 48797 31871 38.97 1
uni 31818 31995 200.24 1
uni 31905 31892 222.89 1
uni 31947 31886 30.13 1
uni 31951 31905 222.89 1
uni 31965 31951 222.89 1
uni 31837 31972 88.94 1
uni 31983 31965 144.81 1
uni 31972 31983 110.08 1
uni 31991 31837 222.89 1
uni 31995 32005 222.89 1
uni 32004 31991 68.14 1
uni 32005 32004 37.79 1
uni 32006 31947 127.50 1
uni 32057 32006 222.89 1
uni 32144 32057 222.89 1
uni 31837 32165 222.89 1
uni 32211 32144 76.52 1
uni 32165 32253 222.89 1
uni 32288 32211 50.99 1
uni 32353 32288 168.23 1
uni 32518 32353 196.84 1
uni 32253 32518 222.89 1
uni 32619 32518 44.81 1
uni 32709 32619 222.89 1
uni 32518 32733 174.74 1
uni 32815 32735 42.19 1
uni 32885 32709 136.38 1
uni 32733 32885 222.89 1
uni 32887 32815 217.55 1
uni 32887 47103 222.89 1
bi 32735 47103 222.89 1
uni 31892 48797 222.89 1
bi 31833 31492 27.62 1
bi 31840 31794 222.89 1
bi 31850 31818 221.60 1
bi 31840 31850 82.25 1
bi 31853 31752 75.59 1
bi 31833 31853 222.89 1
bi 31902 31840 222.89 1
bi 31913 31850 222.89 1
bi 31902 31913 166.82 1
bi 31920 51511 222.89 1
bi 31930 31995 222.89 1
bi 31913 31930 122.01 1
bi 31931 31853 73.25 1
bi 31920 31931 220.45 1
bi 31936 31920 222.89 1
bi 31937 31766 186.61 1
bi 31931 31937 170.52 1
bi 31941 31902 222.89 1
bi 31937 31941 177.19 1
bi 31973 31941 193.69 1
bi 31973 31982 35.32 1
bi 31981 31913 222.89 1
bi 31982 31981 57.28 1
bi 31984 31833 81.54 1
bi 31994 31930 222.89 1
bi 31981 31994 222.89 1
bi 32011 31931 212.88 1
bi 31984 32011 63.78 1
bi 32035 31973 66.94 1
bi 32041 31982 222.89 1
bi 32035 32041 222.89 1
bi 32044 31981 222.89 1
bi 32041 32044 222.89 1
bi 32046 31994 190.32 1
bi 32044 32046 158.95 1
bi 32068 32011 166.11 1
bi 32072 31937 153.52 1
bi 32068 32072 222.89 1
bi 32086 32035 222.89 1
bi 32072 32086 155.41 1
bi 32095 32041 222.89 1
bi 32086 32095 222.89 1
bi 32101 32044 222.89 1
bi 32095 32101 39.19 1
bi 32106 32005 14.52 1
bi 32107 32046 222.89 1
bi 32101 32107 63.03 1
bi 32119 32004 222.89 1
bi 32106 32119 222.89 1
bi 32125 31984 82.01 1
bi 32136 31991 222.89 1
bi 32119 32136 222.89 1
bi 32138 32068 80.93 1
bi 32139 32138 222.89 1
bi 32148 51522 222.89 1
bi 32136 32148 222.89 1
bi 32148 32165 36.14 1
bi 32166 32086 222.89 1
bi 32173 32095 126.77 1
bi 32166 32173 222.89 1
bi 32177 32101 76.82 1
bi 32173 32177 114.26 1
bi 32188 32107 222.89 1
bi 32177 32188 222.89 1
bi 32199 32106 222.89 1
bi 32216 32256 222.89 1
bi 32217 32139 30.73 1
bi 32226 32138 222.89 1
bi 32217 32226 84.87 1
bi 32240 32072 169.54 1
bi 32243 32166 222.89 1
bi 32240 32243 179.82 1
bi 32243 32248 39.73 1
bi 32247 32173 222.89 1
bi 32248 32247 222.89 1
bi 32199 32253 87.25 1
bi 32255 32199 196.00 1
bi 32256 32255 159.21 1
bi 32263 32177 222.89 1
bi 32247 32263 222.89 1
bi 32263 32271 87.51 1
