NOMBRE : Instancia real grande
COMENTARIO : caso real 
VERTICES : 204 
ARISTAS_REQ : 293
ARISTAS_NOREQ : 0 
RESTRICCIONES : 0 
NODOS_INICIALES : 1 
NODOS_TERMINO : 1 
LISTA_ARISTAS_REQ : 
uni 31492 31752 71.39 1
uni 31752 31766 123.98 1
uni 31766 31794 94.86 1
uni 31773 31492 48.24 1
uni 31793 31773 103.75 1
uni 31794 31809 123.99 1
uni 31809 31826 134.15 1
uni 31818 31793 131.25 1
uni 31826 31818 145.14 1
uni 31829 31818 137.02 1
uni 31849 31829 55.13 1
uni 31871 31849 107.37 1
uni 31886 31837 140.02 1
uni 48797 31871 160.01 1
uni 31818 31995 101.56 1
uni 31905 31892 156.51 1
uni 31947 31886 109.76 1
uni 31951 31905 120.70 1
uni 31965 31951 51.22 1
uni 31837 31972 86.25 1
uni 31983 31965 101.34 1
uni 31972 31983 55.33 1
uni 31991 31837 104.15 1
uni 31995 32005 106.45 1
uni 32004 31991 37.89 1
uni 32005 32004 151.03 1
uni 32006 31947 118.66 1
uni 32057 32006 102.35 1
uni 32144 32057 124.38 1
uni 31837 32165 118.18 1
uni 32211 32144 206.73 1
uni 32165 32253 57.66 1
uni 32288 32211 137.69 1
uni 32353 32288 101.70 1
uni 32518 32353 133.12 1
uni 32253 32518 48.68 1
uni 32619 32518 123.06 1
uni 32709 32619 152.94 1
uni 32518 32733 147.36 1
uni 32815 32735 63.06 1
uni 32885 32709 52.97 1
uni 32733 32885 122.76 1
uni 32887 32815 129.87 1
uni 32887 47103 96.86 1
bi 32735 47103 188.44 1
uni 31892 48797 82.21 1
bi 31833 31492 48.89 1
bi 31840 31794 126.94 1
bi 31850 31818 132.29 1
bi 31840 31850 113.91 1
bi 31853 31752 109.41 1
bi 31833 31853 102.74 1
bi 31902 31840 98.95 1
bi 31913 31850 86.86 1
bi 31902 31913 133.49 1
bi 31920 51511 153.80 1
bi 31930 31995 30.83 1
bi 31913 31930 119.31 1
bi 31931 31853 103.27 1
bi 31920 31931 108.14 1
bi 31936 31920 187.12 1
bi 31937 31766 76.53 1
bi 31931 31937 145.35 1
bi 31941 31902 51.53 1
bi 31937 31941 190.29 1
bi 31973 31941 134.51 1
bi 31973 31982 92.49 1
bi 31981 31913 62.31 1
bi 31982 31981 61.53 1
bi 31984 31833 116.88 1
bi 31994 31930 119.70 1
bi 31981 31994 131.29 1
bi 32011 31931 137.89 1
bi 31984 32011 109.74 1
bi 32035 31973 122.79 1
bi 32041 31982 112.95 1
bi 32035 32041 19.05 1
bi 32044 31981 148.44 1
bi 32041 32044 89.69 1
bi 32046 31994 107.39 1
bi 32044 32046 94.76 1
bi 32068 32011 67.97 1
bi 32072 31937 108.64 1
bi 32068 32072 121.80 1
bi 32086 32035 82.22 1
bi 32072 32086 82.68 1
bi 32095 32041 102.86 1
bi 32086 32095 111.42 1
bi 32101 32044 129.84 1
bi 32095 32101 58.26 1
bi 32106 32005 88.04 1
bi 32107 32046 117.51 1
bi 32101 32107 140.55 1
bi 32119 32004 127.68 1
bi 32106 32119 88.07 1
bi 32125 31984 108.24 1
bi 32136 31991 191.32 1
bi 32119 32136 135.05 1
bi 32138 32068 89.89 1
bi 32139 32138 61.05 1
bi 32148 51522 117.90 1
bi 32136 32148 68.10 1
bi 32148 32165 125.40 1
bi 32166 32086 158.49 1
bi 32173 32095 177.55 1
bi 32166 32173 135.59 1
bi 32177 32101 139.14 1
bi 32173 32177 166.52 1
bi 32188 32107 81.63 1
bi 32177 32188 66.06 1
bi 32199 32106 154.98 1
bi 32216 32256 160.44 1
bi 32217 32139 137.98 1
bi 32226 32138 168.18 1
bi 32217 32226 129.54 1
bi 32240 32072 84.50 1
bi 32243 32166 76.20 1
bi 32240 32243 108.93 1
bi 32243 32248 130.76 1
bi 32247 32173 51.83 1
bi 32248 32247 157.31 1
bi 32199 32253 100.29 1
bi 32255 32199 137.19 1
bi 32256 32255 74.84 1
bi 32263 32177 146.50 1
bi 32247 32263 88.55 1
bi 32263 32271 116.44 1
