NOMBRE : Instancia real grande
COMENTARIO : caso real 
VERTICES : 3229 
ARISTAS_REQ : 4591
ARISTAS_NOREQ : 0 
RESTRICCIONES : 0 
NODOS_INICIALES : 1 
NODOS_TERMINO : 1 
LISTA_ARISTAS_REQ : 
uni 24768 50906 172.12 1
uni 50906 24819 94.14 1
uni 24819 24747 230.92 1
uni 24747 24891 98.32 1
uni 24819 24936 139.08 1
uni 24936 25026 94.28 1
uni 24891 25097 159.97 1
uni 25098 25097 227.96 1
uni 25097 25186 60.76 1
uni 25026 25206 227.14 1
uni 25027 25206 224.72 1
uni 25206 25301 70.61 1
uni 25409 25084 191.61 1
uni 25437 25098 450.93 1
uni 25301 25454 157.70 1
uni 25485 25451 42.73 1
uni 25594 47314 141.08 1
uni 25595 25437 94.40 1
uni 25454 25607 154.01 1
uni 25186 25718 305.58 1
uni 25794 25770 67.18 1
uni 25829 25793 48.35 1
uni 25793 25794 48.05 1
uni 25811 25816 215.39 1
uni 25816 25899 58.09 1
uni 25867 25829 370.34 1
uni 47278 25830 137.48 1
uni 25830 25850 16.81 1
uni 51002 25853 422.39 1
uni 25854 25859 26.61 1
uni 25859 25866 216.50 1
uni 25877 25867 302.07 1
uni 25873 25853 41.12 1
uni 51004 25876 367.08 1
uni 25876 25854 62.28 1
uni 25963 25877 84.32 1
uni 25897 25595 484.61 1
uni 51005 25898 181.62 1
uni 25899 47331 316.78 1
uni 25905 47326 42.81 1
uni 25930 47325 251.78 1
uni 25987 25963 493.13 1
uni 25898 25970 141.59 1
uni 25977 26055 422.86 1
uni 26028 25987 143.78 1
uni 25995 25897 204.75 1
uni 26091 26028 348.19 1
uni 26035 25995 32.59 1
uni 26055 26080 335.83 1
uni 26080 26116 171.59 1
uni 25970 26090 298.66 1
uni 26090 26091 384.70 1
uni 26102 26035 157.80 1
uni 26115 26102 106.85 1
uni 26116 26115 215.70 1
uni 26139 47320 147.57 1
uni 26145 26147 381.39 1
uni 26147 26139 121.82 1
uni 26380 47543 290.92 1
uni 51044 26447 93.94 1
uni 26510 47426 104.10 1
uni 26510 47347 49.58 1
uni 51047 26534 35.29 1
uni 26534 26572 32.58 1
uni 26615 47343 25.91 1
uni 26615 51054 51.12 1
uni 26572 26729 72.55 1
uni 26736 26615 110.80 1
uni 51054 26784 196.87 1
uni 47777 26788 435.14 1
uni 26797 26736 66.05 1
uni 27141 26797 393.18 1
uni 51092 27202 157.98 1
uni 27259 47774 95.79 1
uni 27522 47270 537.07 1
uni 51123 27523 242.88 1
uni 27603 27522 61.96 1
uni 27704 27141 619.29 1
uni 27705 47425 1372.17 1
uni 27851 27603 159.19 1
uni 47346 27880 787.66 1
uni 51153 28012 144.45 1
uni 51143 28013 143.16 1
uni 28055 27705 251.57 1
uni 28013 28152 127.67 1
uni 28160 28055 108.47 1
uni 28188 47355 23.34 1
uni 28152 28188 53.11 1
uni 28191 27933 206.47 1
uni 28152 28203 20.89 1
uni 28227 28160 54.20 1
uni 47353 28228 45.79 1
uni 28293 27851 176.78 1
uni 28228 28331 113.63 1
uni 28349 28191 105.86 1
uni 28349 28371 48.50 1
uni 28380 28227 130.73 1
uni 28486 28349 107.88 1
uni 28331 28493 159.74 1
uni 28512 28380 132.26 1
uni 28515 47353 244.04 1
uni 28561 51185 42.54 1
uni 28578 47442 210.92 1
uni 28620 28486 93.33 1
uni 28721 28512 121.48 1
uni 28747 28515 116.97 1
uni 28776 28578 201.17 1
uni 51196 28777 142.71 1
uni 51185 28787 164.49 1
uni 28792 28620 125.44 1
uni 28802 28561 199.69 1
uni 28803 28776 21.95 1
uni 28827 47358 134.07 1
uni 28836 28747 188.35 1
uni 28787 28854 40.92 1
uni 28777 28803 62.41 1
uni 28888 28854 40.63 1
uni 28892 28836 51.84 1
uni 28964 28802 86.52 1
uni 28965 28776 82.76 1
uni 29068 29050 44.17 1
uni 29085 29068 42.54 1
uni 51222 29092 116.52 1
uni 29099 29085 45.44 1
uni 29120 29099 46.87 1
uni 51230 29144 635.40 1
uni 29149 28964 129.22 1
uni 29193 28892 215.56 1
uni 29194 28827 158.95 1
uni 29201 29149 36.37 1
uni 29202 28965 167.50 1
uni 27917 29226 940.76 1
uni 29233 28792 182.73 1
uni 29345 29272 78.11 1
uni 29400 29345 34.48 1
uni 29453 29201 117.95 1
uni 29455 29241 182.46 1
uni 29468 29400 51.28 1
uni 29478 29194 408.56 1
uni 29092 29492 321.11 1
uni 29506 47359 22.57 1
uni 29531 47359 35.21 1
uni 29531 29506 32.47 1
uni 51266 29536 288.27 1
uni 29544 29468 45.78 1
uni 29547 47755 36.55 1
uni 29506 47551 46.91 1
uni 29582 47367 499.67 1
uni 29595 29544 42.32 1
uni 29452 29453 93.71 1
uni 29617 29202 186.09 1
uni 29226 29682 370.05 1
uni 29492 29695 164.35 1
uni 29697 29455 195.78 1
uni 29732 29595 98.83 1
uni 29682 29741 44.02 1
uni 29747 29697 40.56 1
uni 29695 29751 44.35 1
uni 29754 29732 23.03 1
uni 29762 29754 9.22 1
uni 29797 29531 504.45 1
uni 29798 29797 487.53 1
uni 29751 29810 55.28 1
uni 29836 29762 74.53 1
uni 29836 29747 80.57 1
uni 29741 29868 102.04 1
uni 29810 29870 37.19 1
uni 29881 29836 21.86 1
uni 29870 29924 31.07 1
uni 29952 29939 75.32 1
uni 29971 29952 64.05 1
uni 29957 29881 45.37 1
uni 29970 29971 47.61 1
uni 30017 29797 283.55 1
uni 29797 30017 283.55 1
uni 30040 29617 556.35 1
uni 30043 47762 27.97 1
uni 29924 30052 69.43 1
uni 30082 47768 61.34 1
uni 51308 30082 52.36 1
uni 30096 29452 254.80 1
uni 30097 30096 201.76 1
uni 47587 30017 305.62 1
uni 30017 47588 309.38 1
uni 30121 30043 45.47 1
uni 29868 30156 101.28 1
uni 30198 30121 44.64 1
uni 47760 30232 45.79 1
uni 30232 30326 46.53 1
uni 30052 30328 150.90 1
uni 30344 30198 113.10 1
uni 30366 30344 44.91 1
uni 30378 30366 48.09 1
uni 30395 30399 46.38 1
uni 28803 30412 987.05 1
uni 30082 30417 132.67 1
uni 30422 30097 132.88 1
uni 30422 30040 62.58 1
uni 30453 30395 132.27 1
uni 30464 30082 212.75 1
uni 30412 30506 67.15 1
uni 30328 30506 26.87 1
uni 30523 30453 134.34 1
