NOMBRE : Instancia real grande
COMENTARIO : caso real 
VERTICES : 204 
ARISTAS_REQ : 296
ARISTAS_NOREQ : 0 
RESTRICCIONES : 0 
NODOS_INICIALES : 1 
NODOS_TERMINO : 1 
LISTA_ARISTAS_REQ : 
uni 31492 31752 55.72 1
uni 31752 31766 39.94 1
uni 31766 31794 40.00 1
uni 31773 31492 222.89 1
uni 31793 31773 40.67 1
uni 31794 31809 89.80 1
uni 31809 31826 40.92 1
uni 31818 31793 31.72 1
uni 31826 31818 31.51 1
uni 31829 31818 47.83 1
uni 31849 31829 47.99 1
uni 31871 31849 46.44 1
uni 31886 31837 24.24 1
uni 48797 31871 30.90 1
uni 31818 31995 175.96 1
uni 31905 31892 47.06 1
uni 31947 31886 32.86 1
uni 31951 31905 74.03 1
uni 31965 31951 48.11 1
uni 31837 31972 152.08 1
uni 31983 31965 41.36 1
uni 31972 31983 41.63 1
uni 31991 31837 149.58 1
uni 31995 32005 193.20 1
uni 32004 31991 37.28 1
uni 32005 32004 46.05 1
uni 32006 31947 33.20 1
uni 32057 32006 35.61 1
uni 32144 32057 45.62 1
uni 31837 32165 183.94 1
uni 32211 32144 34.15 1
uni 32165 32253 43.91 1
uni 32288 32211 35.26 1
uni 32353 32288 33.32 1
uni 32518 32353 81.60 1
uni 32253 32518 129.45 1
uni 32619 32518 49.62 1
uni 32709 32619 43.81 1
uni 32518 32733 112.94 1
uni 32815 32735 42.20 1
uni 32885 32709 109.29 1
uni 32733 32885 91.05 1
uni 32887 32815 49.36 1
uni 32887 47103 48.43 1
uni 32735 47103 90.53 1
uni 31892 48797 15.63 1
bi 31833 31492 77.30 1
bi 31840 31794 42.10 1
bi 31850 31818 17.27 1
bi 31840 31850 165.45 1
bi 31853 31752 66.88 1
bi 31833 31853 63.99 1
bi 31902 31840 34.73 1
bi 31913 31850 35.30 1
bi 31902 31913 164.61 1
bi 31920 51511 4.84 1
bi 31930 31995 13.30 1
bi 31913 31930 164.94 1
bi 31931 31853 42.55 1
bi 31920 31931 26.18 1
bi 31936 31920 5.22 1
bi 31937 31766 101.90 1
bi 31931 31937 39.96 1
bi 31941 31902 16.90 1
bi 31937 31941 39.69 1
bi 31973 31941 18.48 1
bi 31973 31982 83.63 1
bi 31981 31913 34.83 1
bi 31982 31981 81.52 1
bi 31984 31833 81.34 1
bi 31994 31930 33.70 1
bi 31981 31994 164.64 1
bi 32011 31931 40.82 1
bi 31984 32011 76.46 1
bi 32035 31973 34.67 1
bi 32041 31982 34.96 1
bi 32035 32041 83.66 1
bi 32044 31981 34.66 1
bi 32041 32044 81.65 1
bi 32046 31994 34.29 1
bi 32044 32046 164.40 1
bi 32068 32011 39.19 1
bi 32072 31937 79.66 1
bi 32068 32072 40.47 1
bi 32086 32035 31.22 1
bi 32072 32086 42.10 1
bi 32095 32041 34.63 1
bi 32086 32095 85.05 1
bi 32101 32044 34.93 1
bi 32095 32101 81.88 1
bi 32106 32005 71.16 1
bi 32107 32046 35.81 1
bi 32101 32107 164.50 1
bi 32119 32004 72.73 1
bi 32106 32119 46.09 1
bi 32125 31984 56.79 1
bi 32136 31991 86.68 1
bi 32119 32136 43.02 1
bi 32138 32068 32.68 1
bi 32139 32138 86.61 1
bi 32148 51522 71.39 1
bi 32136 32148 42.95 1
bi 32148 32165 39.80 1
bi 32166 32086 39.24 1
bi 32173 32095 35.75 1
bi 32166 32173 83.38 1
bi 32177 32101 35.54 1
bi 32173 32177 81.52 1
bi 32188 32107 34.20 1
bi 32177 32188 164.53 1
bi 32199 32106 43.48 1
bi 32216 32256 12.02 1
bi 32217 32139 42.96 1
bi 32226 32138 42.39 1
bi 32217 32226 89.32 1
bi 32240 32072 80.23 1
bi 32243 32166 36.00 1
bi 32240 32243 40.47 1
bi 32243 32248 41.96 1
bi 32247 32173 36.06 1
bi 32248 32247 41.14 1
bi 32199 32253 171.44 1
bi 32255 32199 24.68 1
bi 32256 32255 115.21 1
bi 32263 32177 36.76 1
bi 32247 32263 81.79 1
bi 32263 32271 83.55 1
